"Address","ที่อยู่"
"Barcode","บาร์โค้ด"
"Height (cm)","ความสูง (ซม.)"
"Item Category","หมวดหมู่สินค้า"
"Item Description","คำอธิบายสินค้า"
"Item Image","รูปภาพสินค้า"
"Item Name","ชื่อสินค้า"
"Length (cm)","ความยาว (ซม.)"
"Main","หลัก"
"Name","ชื่อ"
"Phone","โทรศัพท์"
"UOM","หน่วยขาย"
"Volume (cm³)","ปริมาณ (cm³)"
"Warehouse","คลังสินค้า"
"Warehouse Code","รหัสคลังสินค้า"
"Warehouse Name","ชื่อคลังสินค้า"
"Weight (kg)","น้ำหนัก (กก.)"
"Width (cm)","ความกว้าง (ซม.)"
"Items","รายการ"
"Stock","สต็อค"
"Stock Entry", "การบันทึกสต็อค"
"Stock Entry Item", "รายการการบันทึกสต็อค"
"Stock Entry Items", "รายการการบันทึกสต็อค"
"Total Qty", "จำนวนทั้งหมด"
