"Add Delivery Notes","เพิ่มใบส่งสินค้า"
"Address","ที่อยู่"
"Addresses","ที่อยู่"
"Amount","จำนวน"
"Append Delivery Note","เพิ่มใบนำส่ง"
"Apply VAT Template","ใช้เทมเพลต VAT"
"Billing Address","ที่อยู่สำหรับการเรียกเก็บเงิน"
"Billing Contact","ติดต่อเรียกเก็บเงิน"
"Billing Contact Inline","ติดต่อเรียกเก็บเงินอินไลน์"
"Billing Inline Address","ที่อยู่อินไลน์สำหรับการเรียกเก็บเงิน"
"Capacity (e.g. weight/volume)","ความจุ (เช่น น้ำหนัก/ปริมาตร)"
"Customer","ลูกค้า"
"Customer Address","ที่อยู่ลูกค้า"
"Customer Phone","โทรศัพท์ลูกค้า"
"Customer Tax ID","หมายเลขประจำตัวผู้เสียภาษีของลูกค้า"
"Delivery Note","ใบนำส่ง"
"Delivery Note Item","รายการใบนำส่ง"
"Delivery Note Items","รายการใบนำส่ง"
"Delivery Price Calculation Table","ตารางคำนวณราคาจัดส่ง"
"Delivery Price Calculation Table Item","รายการตารางคำนวณราคาจัดส่ง"
"Delivery Price Calculation Table Items","รายการตารางการคำนวณราคาจัดส่ง"
"Delivery Trip","ทริปส่งของ"
"Delivery Trip Expense Item","รายการค่าใช้จ่ายในการเดินทางจัดส่ง"
"Delivery Trip Expense Items","รายการค่าใช้จ่ายการเดินทางจัดส่ง"
"Delivery Trip Item","รายการทริปส่งของ"
"Delivery Trip Items","รายการการเดินทางจัดส่ง"
"Description","คำอธิบาย"
"Driver","คนขับรถ"
"Driver Name","ชื่อคนขับ"
"Expense Type","ประเภทค่าใช้จ่าย"
"Expense Type Name","ชื่อประเภทค่าใช้จ่าย"
"Freight Expense Type","ประเภทค่าใช้จ่ายในการขนส่ง"
"Height (cm)","ความสูง (ซม.)"
"Ignore Price Project","ละเว้นโครงการราคา"
"Installation %","การติดตั้ง%"
"Installation Date","วันที่ติดตั้ง"
"Installation Note","บิลการติดตั้ง"
"Installation Note Item","รายการบิลการติดตั้ง"
"Installation Note Items","รายการบิลการติดตั้ง"
"Installation Proof","หลักฐานการติดตั้ง"
"Installation Time","เวลาติดตั้ง"
"Item","สินค้า"
"Length (cm)","ความยาว (ซม.)"
"License Number","หมายเลขใบอนุญาต"
"Main","หลัก"
"Max Weight","น้ำหนักสูงสุด"
"More Information","ข้อมูลเพิ่มเติม"
"Net Total","ยอดรวมสุทธิ"
"Payment Status","สถานะการชำระเงิน"
"Phone","โทรศัพท์"
"Plate Number","หมายเลขทะเบียน"
"Posting Date","วันที่โพสต์"
"Posting Time","เวลาโพสต์"
"Price","ราคา"
"Price Project","โครงการราคา"
"Quantity","ปริมาณ"
"Rate","อัตรา"
"Receiver Signature","ลายเซ็นผู้รับ"
"Remarks","หมายเหตุ"
"Sender Address","ที่อยู่ผู้ส่ง"
"Sender Contact","ติดต่อผู้ส่ง"
"Sender Contact Inline","ติดต่อผู้ส่งแบบอินไลน์"
"Sender Inline Address","ที่อยู่อินไลน์ของผู้ส่ง"
"Shipping Address","ที่อยู่จัดส่ง"
"Shipping Address Inline","ที่อยู่จัดส่งอินไลน์"
"Shipping Address Name","ชื่อที่อยู่จัดส่ง"
"Shipping Contact","ติดต่อจัดส่ง"
"Shipping Contact Inline","การจัดส่งสินค้าติดต่ออินไลน์"
"Shipping Inline Address","ที่อยู่จัดส่งอินไลน์"
"Source Warehouse","แหล่งคลังสินค้า"
"Status","สถานะ"
"Target Warehouse","คลังสินค้าเป้าหมาย"
"Total Expense Amount","จำนวนค่าใช้จ่ายทั้งหมด"
"Total Price","ราคารวม"
"Total Volume (cm³)","ปริมาตรรวม (cm³)"
"Total Weight (kg)","น้ำหนักรวม (กก.)"
"Transporter (Driver's Supplier)","Transporter (ซัพพลายเออร์คนขับ)"
"Transporter (Supplier)","ผู้ขนส่ง (ซัพพลายเออร์)"
"UOM","หน่วยขาย"
"Unit Price","ราคาต่อหน่วย"
"VAT Amount","จำนวนภาษีมูลค่าเพิ่ม"
"VAT Rate","อัตราภาษีมูลค่าเพิ่ม"
"Vat Type","ประเภทภาษีมูลค่าเพิ่ม"
"Vehicle","ยานพาหนะ"
"Vehicle Type","ประเภทยานพาหนะ"
"Volume (cm³)","ปริมาณ (cm³)"
"Volume Divider","ตัวแบ่งระดับเสียง"
"Weight (kg)","น้ำหนัก (กก.)"
"Width (cm)","ความกว้าง (ซม.)"
"Delivery","การจัดส่ง"
"Installation","การติดตั้ง"
"Master","มาสเตอร์"
"TMS","ระบบขนส่ง"
