"Absence Days","วันที่ขาดงาน"
"Additional Salary","เงินเดือนเพิ่มเติม"
"Amount","จำนวน"
"Calculation Note","หมายเหตุการคำนวณ"
"Component Type","ประเภทส่วนประกอบ"
"Deduction Component","องค์ประกอบการหักเงิน"
"Deductions","การหักเงิน"
"Earning Component","องค์ประกอบรายได้"
"Earnings","รายได้"
"Employee","พนักงาน"
"Employee Advance","พนักงานล่วงหน้า"
"Employee Name","ชื่อพนักงาน"
"End Date","วันที่สิ้นสุด"
"Leave Without Pay Days","จำนวนวันลาไม่รับค่าจ้าง"
"Main","หลัก"
"Mark Unmarked Attendance With","ทำเครื่องหมายผู้เข้าร่วมที่ไม่มีเครื่องหมายด้วย"
"Max Social Security Deduct","หักเงินประกันสังคมสูงสุด"
"Net Pay","จ่ายสุทธิ"
"Payment Days","วันชำระเงิน"
"Payment Status","สถานะการชำระเงิน"
"Payroll Date","วันที่จ่ายเงินเดือน"
"Payroll Frequency","ความถี่การจ่ายเงินเดือน"
"Payroll Setting","การตั้งค่าเงินเดือน"
"Posting Date","วันที่โพสต์"
"Purpose","วัตถุประสงค์"
"Salary Slip","สลิปเงินเดือน"
"Salary Slip Earning","สลิปเงินเดือน"
"Social Security Percentage","เปอร์เซ็นต์ประกันสังคม"
"Start Date","วันที่เริ่มต้น"
"Total Deductions","การหักเงินทั้งหมด"
"Total Earnings","รายได้รวม"
"Working Days","วันทำการ"
"Advance","ขั้นสูง"
"Payroll","บัญชีเงินเดือน"
"Salary","เงินเดือน"
"Setup","ติดตั้ง"
