"Mr.","นาย"
"Mrs.","นางสาว"
"Ms.","นาง"
"Dr.","ดร."
"Prof.","ศ.""Address"
"Approver","ผู้อนุมัติ"
"Attendance","การเข้างาน"
"Attendance Approver","ผู้อนุมัติการเข้าร่วม"
"Attendance Date","วันที่เข้าร่วม"
"Bank Account No","เลขที่บัญชีธนาคาร"
"Bank Name","ชื่อธนาคาร"
"Base Salary","ฐานเงินเดือน"
"Branch","สาขา"
"Branch Code","รหัสสาขา"
"Branch Name","ชื่อสาขา"
"Can Early Entry (Minutes)","สามารถเข้างานก่อนเวลา (นาที)"
"Can Early Exit (Minutes)","สามารถเลิกงานก่อนเวลา (นาที)"
"Can Late Entry (Minutes)","สามารถเข้าได้ช้า (นาที)"
"Can Late Exit (Minutes)","สามารถเลิกงานล่าช้า (นาที)"
"Check Time","เวลาเช็คอิน"
"Date of Birth","วันเกิด"
"Date of Joining","วันที่เข้าร่วม"
"Department","แผนก"
"Department Name","ชื่อแผนก"
"Description","รายละเอียด"
"Designation","ตำแหน่ง"
"Designation Name","ชื่อตำแหน่ง"
"Email","ส่งอีเมล"
"Employee","พนักงาน"
"Employee Checkin","การเช็คอินของพนักงาน"
"Employee Face Data","ข้อมูลใบหน้าของพนักงาน"
"Employee Image","รูปภาพ"
"Employee Kiosk","คีออสก์พนักงาน"
"Employee Name","ชื่อพนักงาน"
"Employee Number","หมายเลขพนักงาน"
"Employee Table","ตารางพนักงาน"
"Employment","การจ้างงาน"
"Expense Approver","ผู้อนุมัติค่าใช้จ่าย"
"Face Descriptor","คำอธิบายลักษณะใบหน้า"
"First Name","ชื่อจริง"
"Friday Break End","สิ้นสุดพักวันศุกร์"
"Friday Break Start","เริ่มพักวันศุกร์"
"Friday End Time","เวลาสิ้นสุดวันศุกร์"
"Friday Start Time","เวลาเริ่มต้นวันศุกร์"
"Friday is Day Off","วันศุกร์เป็นวันหยุด"
"From Date","จากวันที่"
"Full Name","ชื่อ-นามสกุล"
"Gender","เพศ"
"Is Active","กำลังใช้งานอยู่"
"Is Early Exit","เลิกงานก่อนเวลา"
"Is Half Day","เป็นครึ่งวัน"
"Is Late Entry","มาสาย"
"Is Leave Without Pay","ลาโดยไม่รับค่าจ้าง"
"Kiosk Name","ชื่อ Kiosk"
"Last Captured At","จับภาพล่าสุดเมื่อ"
"Last Name","นามสกุล"
"Leave Allocation","การจัดสรรการลา"
"Leave Allocation Entry","ชุดการจัดสรรการลา"
"Leave Allocation Entry Employee","พนักงานของการจัดสรรการลา"
"Leave Allocation Entry Leave","การลาของการจัดสรรการลา"
"Leave Application","ใบลา"
"Leave Period","ระยะเวลาการลา"
"Leave Policy","นโยบายการลา"
"Leave Policy Detail","รายละเอียดนโยบายการลา"
"Leave Table","จารางการลา"
"Leave Type","ประเภทการลา"
"Leave Type Name","ชื่อประเภทการลา"
"Leaves Taken","ใบไม้ที่นำมา"
"Limit to branch","จำกัดเฉพาะสาขา"
"Limit to department","จำกัดเฉพาะแผนก"
"Limit to designation","จำกัดเฉพาะการกำหนด"
"Main","หลัก"
"Max Leaves Allowed","อนุญาตให้มีใบได้สูงสุด"
"Monday Break End","สิ้นสุดพักวันจันทร์"
"Monday Break Start","เริ่มพักวันจันทร์"
"Monday End Time","เวลาสิ้นสุดวันจันทร์"
"Monday Start Time","เวลาเริ่มต้นวันจันทร์"
"Monday is Day Off","วันจันทร์เป็นวันหยุด"
"Name","ชื่อ"
"Overtime Application","ใบทำงานล่วงเวลา"
"Overtime Date","วันที่ทำงานล่วงเวลา"
"Overtime Hours","ชั่วโมงล่วงเวลา"
"Personal & Contact","ส่วนบุคคลและการติดต่อ"
"Phone","โทรศัพท์"
"Policy Name","ชื่อนโยบาย"
"Posting Date","วันที่ติดประกาศ"
"Reason","เหตุผล"
"Salary & Bank","เงินเดือนและธนาคาร"
"Salary Channel","ช่องทางเงินเดือน"
"Salary Type","ประเภทเงินเดือน"
"Saturday Break End","สิ้นสุดพักวันเสาร์"
"Saturday Break Start","เริ่มพักวันเสาร์"
"Saturday End Time","เวลาสิ้นสุดวันเสาร์"
"Saturday Start Time","เวลาเริ่มต้นวันเสาร์"
"Saturday is Day Off","วันเสาร์เป็นวันหยุด"
"Status","สถานะ"
"Sunday Break End","สิ้นสุดพักวันอาทิตย์"
"Sunday Break Start","เริ่มพักวันอาทิตย์"
"Sunday End Time","เวลาสิ้นสุดวันอาทิตย์"
"Sunday Start Time","เวลาเริ่มต้นวันอาทิตย์"
"Sunday is Day Off","วันอาทิตย์เป็นวันหยุด"
"Thursday Break End","สิ้นสุดพักวันพฤหัสบดี"
"Thursday Break Start","เริ่มพักวันพฤหัสบดี"
"Thursday End Time","เวลาสิ้นสุดวันพฤหัสบดี"
"Thursday Start Time","เวลาเริ่มต้นวันพฤหัสบดี"
"Thursday is Day Off","วันพฤหัสบดีเป็นวันหยุด"
"Title","คำนำหน้าชื่อ"
"To Date","ถึงวันที่"
"Total Leave Days","วันลาทั้งหมด"
"Total Leaves Allowed","จำนวนใบที่อนุญาตทั้งหมด"
"Tuesday Break End","สิ้นสุดพักวันอังคาร"
"Tuesday Break Start","เริ่มพักวันอังคาร"
"Tuesday End Time","เวลาสิ้นสุดวันอังคาร"
"Tuesday Start Time","เวลาเริ่มต้นวันอังคาร"
"Tuesday is Day Off","วันอังคารเป็นวันหยุด"
"User","ผู้ใช้"
"Wednesday Break End","สิ้นสุดพักวันพุธ"
"Wednesday Break Start","เริ่มพักวันพุธ"
"Wednesday End Time","เวลาสิ้นสุดวันพุธ"
"Wednesday Start Time","เวลาเริ่มต้นวันพุธ"
